event_id,magnitude,epicentral_distance,sampling_rate
event_id,magnitude,epicentral_distance,sampling_rate
2014p051675BFZ,6.2297616,32.82952189,50.0
2013p613797MGCS,6.468769,28.13915214,200.0
2018p816466WAZ,6.157347539,80.31143794,200.0
2015p305812KEKS,6.233120551,76.91620115,200.0
2014p051675MRZ,6.2297616,24.57406392,200.0
2018p816466WAZ,6.157347539,80.31143794,200.0
2013p613797NNZ,6.468769,84.57026345,200.0
2014p051675BFZ,6.2297616,32.82952189,50.0
2014p770859PYZ,6.185397483,64.10465826,50.0
2013p543824NEWS,6.493254878,58.21182545,200.0
2014p051675BFZ,6.2297616,32.82952189,50.0
2015p305812KEKS,6.233120551,76.91620115,200.0
2015p305812KEKS,6.233120551,76.91620115,200.0
2014p051675MRZ,6.2297616,24.57406392,200.0
2013p613797NNZ,6.468769,84.57026345,200.0
2013p613797MGCS,6.468769,28.13915214,200.0
2014p051675MRZ,6.2297616,24.57406392,200.0
2014p051675MRZ,6.2297616,24.57406392,200.0
2013p543824NEWS,6.493254878,58.21182545,200.0
2013p613797TCW,6.468769,55.46448646,50.0
2015p768477EKTS,5.691131913,52.67413672,50.0
2020p606562MSZ,5.424126782,34.56002153,200.0
2020p066075PNMS,5.359222441,92.56468545,50.0
2015p792999PYZ,5.112848692,65.16947981,50.0
2014p384573MLZ,5.0665752,78.36644773,200.0
2017p795065GVZ,5.588790533,76.10544045,50.0
2013p563639TCW,5.187060661,45.71519958,50.0
2015p768477EKTS,5.691131913,52.67413672,50.0
2016p427356DCZ,5.75868198,46.72951599,50.0
2018p900482PYZ,5.147880152,47.56303222,50.0
2020p406638FXBS,5.021253394,18.96150609,200.0
2014p901017MXZ,5.098632489,57.71061362,200.0
2015p718332BKZ,5.050475972,98.66354412,50.0
2021p189688TAFS,5.216913851,77.57670736,200.0
2017p012082THZ,5.414742933,93.94027154,50.0
2016p881118PXZ,5.548644778,77.95086328,50.0
2017p012082NNZ,5.414742933,85.4601713,50.0
2020p316088MOSS,5.228785222,92.68921761,200.0
2019p882948URZ,5.853862141,94.67712437,200.0
2020p475488MLZ,5.888094491,97.34202054,200.0
2015p376663MSZ,4.018022693,75.05038604,200.0
2016p880812GVZ,4.033962963,91.74993722,50.0
2016p500086BWRS,4.571879794,31.08314887,50.0
2016p395423WEL,4.292364972,38.89177646,50.0
2021p727127MXZ,4.020745252,93.45444481,200.0
2017p257850BWRS,4.916799979,36.86201927,50.0
2018p595488LTZ,4.216258077,36.75881344,200.0
2013p658515FAIS,4.166133016,93.56200815,200.0
2016p872063LTZ,4.590247552,75.59801148,50.0
2013p574429WDFS,4.958888786,17.2383653,200.0
2017p036308GVZ,4.34739383,94.83604032,50.0
2018p510780THZ,4.282820877,94.42185393,200.0
2021p135986OXZ,4.322297515,53.31440867,200.0
2013p543825MKVS,4.73595443,35.55501651,200.0
2017p311750TCW,4.09705138,55.83474578,200.0
2014p965622HHSS,4.109074512,10.28206473,200.0
2019p529816MTHZ,4.040316563,11.62790854,200.0
2017p095843KHZ,4.289047047,72.97884743,200.0
2020p947812TSFS,4.512318873,45.18856824,200.0
2019p714637HSSS,4.02766774,11.41264839,200.0
2021p951650WPWS,3.19563227,23.42435068,200.0
2019p041526VRZ,3.080018375,11.21786653,200.0
2013p544103VUWS,3.803550552,52.70706563,200.0
2015p313837URZ,3.295943063,88.49583487,50.0
2020p920440HAZ,3.428501808,70.30077146,200.0
2017p496935TSZ,3.110320498,91.60011897,50.0
2017p277176LTZ,3.738007087,51.97148143,50.0
2021p121507MSZ,3.694982256,18.28870544,200.0
2015p793652WAZ,3.032746832,18.3707292,200.0
2019p410937DSZ,3.002334427,88.84492933,50.0
2014p724095PUZ,3.460127682,75.69210046,200.0
2021p057793TAFS,3.222142492,47.79402905,200.0
2018p465880WNKS,3.440489697,35.59331471,200.0
2017p293870THZ,3.575580242,26.137252,50.0
2019p122887MLZ,3.135653352,71.82499222,50.0
2016p875622THZ,3.013650109,82.38778913,50.0
2013p599243WDFS,3.215470282,16.25166084,200.0
2013p543910BWRS,3.322478837,41.81088772,200.0
2021p759177PNBS,3.094043844,55.79534218,200.0
2013p694472BWRS,3.321047148,34.34458743,200.0
