ModelID,Accuracy,Precision,Recall,F1 Score,Parameter Count,Learning Rate,Batch size,Epoch,Optimizer,conv1,conv2,conv3,f1,f2,k1,k2,k3,flops
cnn_20250607_1747_8383,96.5030%,96.0658%,93.3312%,94.6788%,78977,0.002,100,100,,44,32,34,22,11,4,4,4,1070000
cnn_20250607_1747_8770,96.4231%,96.1018%,93.0433%,94.5478%,23989,0.002,100,100,,44,34,8,22,11,4,4,4,745440
cnn_20250607_1747_2918,96.4284%,96.0872%,93.0753%,94.5573%,58213,0.002,100,100,,44,34,24,22,11,4,4,4,978400
cnn_20250607_1747_3476,96.5083%,95.7353%,93.6990%,94.7062%,75325,0.002,100,100,,44,34,32,22,11,4,4,4,1090000
cnn_20250607_1747_1965,96.4604%,96.7699%,92.4676%,94.5698%,66769,0.002,100,100,,44,34,28,22,11,4,4,4,1040000
cnn_20250607_1747_1587,95.8420%,96.7538%,90.5645%,93.5569%,41101,0.002,100,100,,44,34,16,22,11,4,4,4,861920
cnn_20250607_1747_4961,96.1725%,96.6459%,91.7000%,94.1080%,79603,0.002,100,100,,44,34,34,22,11,4,4,4,1120000
cnn_20250607_1747_3623,96.3484%,95.1801%,93.7950%,94.4825%,32545,0.002,100,100,,44,34,12,22,11,4,4,4,803680
cnn_20250607_1807_4512,96.4177%,95.4553%,93.7150%,94.5771%,74715,0.002,100,100,,44,32,32,22,11,4,4,4,1040000
cnn_20250607_1807_3931,96.5776%,96.3642%,93.2512%,94.7822%,40619,0.002,100,100,,44,32,16,22,11,4,4,4,816810
cnn_20250607_1807_2885,96.1512%,93.2853%,95.3142%,94.2889%,66191,0.002,100,100,,44,32,28,22,11,4,4,4,982790
cnn_20250607_1807_1817,96.4124%,94.6543%,94.5786%,94.6164%,23571,0.002,100,100,,44,32,8,22,11,4,4,4,706150
cnn_20250607_1807_2443,96.2791%,95.4360%,93.2992%,94.3555%,57667,0.002,100,100,,44,32,24,22,11,4,4,4,927460
cnn_20250607_1807_3856,96.1512%,93.6405%,94.8984%,94.2653%,32095,0.002,100,100,,44,32,12,22,11,4,4,4,761480
cnn_20250607_1807_3820,96.4124%,95.5436%,93.6031%,94.5634%,77725,0.002,100,100,,44,28,34,22,11,4,4,4,949350
cnn_20250607_1807_9011,96.3271%,96.1666%,92.6755%,94.3888%,73495,0.002,100,100,,44,28,32,22,11,4,4,4,924600
cnn_20250607_1826_6949,96.1672%,96.8983%,91.4281%,94.0838%,65035,0.002,100,100,,44,28,28,22,11,4,4,4,875100
cnn_20250607_1827_1568,96.4550%,95.7283%,93.5391%,94.6210%,72275,0.002,100,100,,44,24,32,22,11,4,4,4,811080
cnn_20250607_1826_6492,96.3538%,94.5877%,94.4667%,94.5271%,22735,0.002,100,100,,44,28,8,22,11,4,4,4,627580
cnn_20250607_1826_2402,96.4017%,96.6076%,92.4516%,94.4839%,56575,0.002,100,100,,44,28,24,22,11,4,4,4,825590
cnn_20250607_1826_7826,96.3164%,96.3809%,92.4196%,94.3587%,39655,0.002,100,100,,44,28,16,22,11,4,4,4,726580
cnn_20250607_1826_8111,96.5776%,96.0144%,93.6191%,94.8016%,76473,0.002,100,100,,44,24,34,22,11,4,4,4,832920
cnn_20250607_1827_3360,96.3697%,96.2023%,92.7715%,94.4558%,63879,0.002,100,100,,44,24,28,22,11,4,4,4,767400
cnn_20250607_1826_7423,96.4390%,94.9750%,94.3067%,94.6397%,31195,0.002,100,100,,44,28,12,22,11,4,4,4,677080
